****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 202x50001
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.52	Loglikelihood: -7.62557e+06	(delta): 4.21036e+06
2 (EM) 	Elapsed: 1.428	Loglikelihood: -7.35166e+06	(delta): 273910
3 (EM) 	Elapsed: 1.447	Loglikelihood: -7.26211e+06	(delta): 89544.5
4 (EM) 	Elapsed: 1.317	Loglikelihood: -7.18665e+06	(delta): 75460.2
5 (EM) 	Elapsed: 1.261	Loglikelihood: -7.10248e+06	(delta): 84169.6
Initial loglikelihood: -7.10248e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 2.962	Loglikelihood: -5.90692e+06	(delta): 1.19556e+06
2 (QN/Block) 	Elapsed: 3.037	Loglikelihood: -5.79188e+06	(delta): 115037
3 (QN/Block) 	Elapsed: 3.207	Loglikelihood: -5.73118e+06	(delta): 60708.3
4 (QN/Block) 	Elapsed: 3.292	Loglikelihood: -5.70166e+06	(delta): 29512.6
5 (QN/Block) 	Elapsed: 3.395	Loglikelihood: -5.6922e+06	(delta): 9466.3
6 (QN/Block) 	Elapsed: 3.212	Loglikelihood: -5.68823e+06	(delta): 3965.35
7 (QN/Block) 	Elapsed: 3.135	Loglikelihood: -5.68561e+06	(delta): 2625.03
8 (QN/Block) 	Elapsed: 3.426	Loglikelihood: -5.6835e+06	(delta): 2105.85
9 (QN/Block) 	Elapsed: 3.181	Loglikelihood: -5.68187e+06	(delta): 1631.84
10 (QN/Block) 	Elapsed: 3.24	Loglikelihood: -5.68108e+06	(delta): 788.286
11 (QN/Block) 	Elapsed: 3.135	Loglikelihood: -5.68019e+06	(delta): 891.347
12 (QN/Block) 	Elapsed: 3.667	Loglikelihood: -5.67955e+06	(delta): 641.684
13 (QN/Block) 	Elapsed: 3.23	Loglikelihood: -5.6791e+06	(delta): 443.36
14 (QN/Block) 	Elapsed: 3.017	Loglikelihood: -5.67889e+06	(delta): 217.973
15 (QN/Block) 	Elapsed: 3.336	Loglikelihood: -5.67859e+06	(delta): 300.993
16 (QN/Block) 	Elapsed: 3.264	Loglikelihood: -5.6784e+06	(delta): 187.214
17 (QN/Block) 	Elapsed: 3.661	Loglikelihood: -5.67828e+06	(delta): 118.423
18 (QN/Block) 	Elapsed: 3.032	Loglikelihood: -5.6782e+06	(delta): 75.5279
19 (QN/Block) 	Elapsed: 3.12	Loglikelihood: -5.67812e+06	(delta): 84.1195
20 (QN/Block) 	Elapsed: 3.519	Loglikelihood: -5.67805e+06	(delta): 67.745
21 (QN/Block) 	Elapsed: 3.2	Loglikelihood: -5.67801e+06	(delta): 43.383
