****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 194x50001
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 1.398	Loglikelihood: -7.33729e+06	(delta): 3.9323e+06
2 (EM) 	Elapsed: 1.37	Loglikelihood: -7.07984e+06	(delta): 257454
3 (EM) 	Elapsed: 1.301	Loglikelihood: -7.00681e+06	(delta): 73027.5
4 (EM) 	Elapsed: 1.384	Loglikelihood: -6.95414e+06	(delta): 52666.5
5 (EM) 	Elapsed: 1.388	Loglikelihood: -6.90473e+06	(delta): 49406.8
Initial loglikelihood: -6.90473e+06
Starting main algorithm
1 (QN/Block) 	Elapsed: 3.123	Loglikelihood: -5.72914e+06	(delta): 1.17559e+06
2 (QN/Block) 	Elapsed: 3.051	Loglikelihood: -5.58255e+06	(delta): 146591
3 (QN/Block) 	Elapsed: 3.473	Loglikelihood: -5.50937e+06	(delta): 73184.4
4 (QN/Block) 	Elapsed: 3.444	Loglikelihood: -5.46649e+06	(delta): 42878.9
5 (QN/Block) 	Elapsed: 3.229	Loglikelihood: -5.45152e+06	(delta): 14965.7
6 (QN/Block) 	Elapsed: 3.434	Loglikelihood: -5.44493e+06	(delta): 6590.28
7 (QN/Block) 	Elapsed: 3.361	Loglikelihood: -5.4411e+06	(delta): 3836.74
8 (QN/Block) 	Elapsed: 3.226	Loglikelihood: -5.43882e+06	(delta): 2273.1
9 (QN/Block) 	Elapsed: 3.425	Loglikelihood: -5.4375e+06	(delta): 1319.31
10 (QN/Block) 	Elapsed: 3.355	Loglikelihood: -5.43649e+06	(delta): 1009.6
11 (QN/Block) 	Elapsed: 3.621	Loglikelihood: -5.43595e+06	(delta): 541.593
12 (QN/Block) 	Elapsed: 3.766	Loglikelihood: -5.43514e+06	(delta): 813.148
13 (QN/Block) 	Elapsed: 3.585	Loglikelihood: -5.43474e+06	(delta): 397.15
14 (QN/Block) 	Elapsed: 3.594	Loglikelihood: -5.43455e+06	(delta): 190.587
15 (QN/Block) 	Elapsed: 3.618	Loglikelihood: -5.4344e+06	(delta): 154.957
16 (QN/Block) 	Elapsed: 3.641	Loglikelihood: -5.43414e+06	(delta): 252.378
17 (QN/Block) 	Elapsed: 3.595	Loglikelihood: -5.43395e+06	(delta): 199.632
18 (QN/Block) 	Elapsed: 3.53	Loglikelihood: -5.43385e+06	(delta): 99.2544
19 (QN/Block) 	Elapsed: 3.348	Loglikelihood: -5.43379e+06	(delta): 52.5524
20 (QN/Block) 	Elapsed: 3.515	Loglikelihood: -5.43369e+06	(delta): 102.962
21 (QN/Block) 	Elapsed: 3.738	Loglikelihood: -5.43357e+06	(delta): 123.553
22 (QN/Block) 	Elapsed: 4.258	Loglikelihood: -5.43352e+06	(delta): 51.0676
23 (QN/Block) 	Elapsed: 3.31	Loglikelihood: -5.43344e+06	(delta): 73.6642
24 (QN/Block) 	Elapsed: 3.581	Loglikelihood: -5.43337e+06	(delta): 69.8577
25 (QN/Block) 	Elapsed: 3.699	Loglikelihood: -5.43331e+06	(delta): 64.4155
26 (QN/Block) 	Elapsed: 3.732	Loglikelihood: -5.43329e+06	(delta): 15.0516
27 (QN/Block) 	Elapsed: 3.618	Loglikelihood: -5.43328e+06	(delta): 12.5154
28 (QN/Block) 	Elapsed: 3.75	Loglikelihood: -5.43327e+06	(delta): 12.7254
29 (QN/Block) 	Elapsed: 3.623	Loglikelihood: -5.43325e+06	(delta): 14.0584
30 (QN/Block) 	Elapsed: 3.788	Loglikelihood: -5.43324e+06	(delta): 10.33
31 (QN/Block) 	Elapsed: 3.741	Loglikelihood: -5.43324e+06	(delta): 4.88728
32 (QN/Block) 	Elapsed: 4.022	Loglikelihood: -5.43323e+06	(delta): 4.34648
33 (QN/Block) 	Elapsed: 3.862	Loglikelihood: -5.43323e+06	(delta): 4.57147
34 (QN/Block) 	Elapsed: 3.632	Loglikelihood: -5.43322e+06	(delta): 4.81634
35 (QN/Block) 	Elapsed: 3.817	Loglikelihood: -5.43322e+06	(delta): 3.6705
36 (QN/Block) 	Elapsed: 3.338	Loglikelihood: -5.43321e+06	(delta): 6.37037
37 (QN/Block) 	Elapsed: 3.472	Loglikelihood: -5.4332e+06	(delta): 10.3677
38 (QN/Block) 	Elapsed: 3.684	Loglikelihood: -5.43318e+06	(delta): 19.9371
39 (QN/Block) 	Elapsed: 3.395	Loglikelihood: -5.43316e+06	(delta): 25.9526
40 (QN/Block) 	Elapsed: 3.589	Loglikelihood: -5.43312e+06	(delta): 34.4688
41 (QN/Block) 	Elapsed: 3.697	Loglikelihood: -5.4331e+06	(delta): 24.2943
42 (QN/Block) 	Elapsed: 3.746	Loglikelihood: -5.43309e+06	(delta): 7.94059
43 (QN/Block) 	Elapsed: 4.068	Loglikelihood: -5.43308e+06	(delta): 12.6994
44 (QN/Block) 	Elapsed: 3.772	Loglikelihood: -5.43306e+06	(delta): 15.907
45 (QN/Block) 	Elapsed: 3.266	Loglikelihood: -5.43305e+06	(delta): 8.2155
46 (QN/Block) 	Elapsed: 3.485	Loglikelihood: -5.43304e+06	(delta): 12.9535
47 (QN/Block) 	Elapsed: 3.433	Loglikelihood: -5.43303e+06	(delta): 16.3292
48 (QN/Block) 	Elapsed: 3.34	Loglikelihood: -5.43298e+06	(delta): 44.1955
49 (QN/Block) 	Elapsed: 3.555	Loglikelihood: -5.43289e+06	(delta): 94.0163
50 (QN/Block) 	Elapsed: 4.019	Loglikelihood: -5.43286e+06	(delta): 31.5957
51 (QN/Block) 	Elapsed: 3.77	Loglikelihood: -5.43285e+06	(delta): 10.3864
52 (QN/Block) 	Elapsed: 3.82	Loglikelihood: -5.43283e+06	(delta): 12.8204
53 (QN/Block) 	Elapsed: 3.575	Loglikelihood: -5.43281e+06	(delta): 18.0845
54 (QN/Block) 	Elapsed: 3.789	Loglikelihood: -5.43279e+06	(delta): 28.6769
55 (QN/Block) 	Elapsed: 3.386	Loglikelihood: -5.43277e+06	(delta): 18.1999
